engine,distance_m,round,bob_received,eve_received,secure_round,key_secure_after_round,cumulative_bob_rx,cumulative_secure_rounds,cumulative_equivocation
ns3,45.0,1,0,1,0,0,0,0,0.000000
ns3,45.0,2,0,0,0,0,0,0,0.000000
ns3,45.0,3,1,1,0,0,1,0,0.000000
ns3,45.0,4,1,1,0,0,2,0,0.000000
ns3,45.0,5,1,0,1,1,3,1,0.703704
ns3,45.0,6,1,0,1,1,4,2,0.937500
ns3,45.0,7,1,1,0,1,5,2,0.922240
ns3,45.0,8,1,1,0,1,6,2,0.912209
ns3,45.0,9,1,0,1,1,7,3,0.980105
ns3,45.0,10,1,1,0,1,8,3,0.976717
ns3,45.0,11,1,0,1,1,9,4,0.994959
ns3,45.0,12,1,0,1,1,10,5,0.999023
