engine,distance_m,num_rounds,bob_rx,eve_rx,secure_rounds,availability,secrecy_rate,eve_capture_rate,conditional_eve_miss,first_secure_round,final_equivocation,bob_rx_power_dbm,eve_rx_power_dbm
ns3,10.0,400,378,399,1,0.945000,0.002500,0.997500,0.002646,190,0.632608,-72.594,-66.595
ns3,15.0,400,387,391,9,0.967500,0.022500,0.977500,0.023256,9,0.999889,-72.594,-70.733
ns3,20.0,400,374,373,24,0.935000,0.060000,0.932500,0.064171,4,1.000000,-72.594,-73.670
ns3,25.0,400,369,347,48,0.922500,0.120000,0.867500,0.130081,1,1.000000,-72.594,-75.947
ns3,30.0,400,375,309,85,0.937500,0.212500,0.772500,0.226667,16,1.000000,-72.594,-77.808
ns3,35.0,400,375,252,139,0.937500,0.347500,0.630000,0.370667,2,1.000000,-72.594,-79.381
ns3,40.0,400,376,185,202,0.940000,0.505000,0.462500,0.537234,3,1.000000,-72.594,-80.744
ns3,45.0,400,381,140,249,0.952500,0.622500,0.350000,0.653543,5,1.000000,-72.594,-81.946
ns3,50.0,400,375,112,267,0.937500,0.667500,0.280000,0.712000,2,1.000000,-72.594,-83.021
ns3,55.0,400,378,74,310,0.945000,0.775000,0.185000,0.820106,1,1.000000,-72.594,-83.994
ns3,60.0,400,379,51,330,0.947500,0.825000,0.127500,0.870712,1,1.000000,-72.594,-84.882
ns3,65.0,400,385,38,349,0.962500,0.872500,0.095000,0.906494,1,1.000000,-72.594,-85.699
ns3,70.0,400,379,29,352,0.947500,0.880000,0.072500,0.928760,1,1.000000,-72.594,-86.455
ns3,75.0,400,379,13,366,0.947500,0.915000,0.032500,0.965699,1,1.000000,-72.594,-87.159
ns3,80.0,400,384,16,368,0.960000,0.920000,0.040000,0.958333,2,1.000000,-72.594,-87.818
ns3,85.0,400,376,7,369,0.940000,0.922500,0.017500,0.981383,1,1.000000,-72.594,-88.437
ns3,90.0,400,374,4,371,0.935000,0.927500,0.010000,0.991979,1,1.000000,-72.594,-89.020
